pin,iob,bank,io_type,diff_role,diff_partner
2,IOB_6a,2,PIO,,
3,IOB_9b,2,DPIO,COMP,IOB_8a
4,IOB_8a,2,DPIO,TRUE,IOB_9b
6,IOB_13b,1,PIO,,
9,IOB_16a,1,PIO,,
10,IOB_18a,1,PIO,,
11,IOB_20a,1,PIO,,
12,IOB_22a,1,DPIO,TRUE,IOB_23b
13,IOB_24a,1,DPIO,TRUE,IOB_25b_G3
14,IOB_32a_SPI_SO,1,PIO,,
15,IOB_34a_SPI_SCK,1,PIO,,
16,IOB_35b_SPI_SS,1,PIO,,
17,IOB_33b_SPI_SI,1,PIO,,
18,IOB_31b,1,PIO,,
19,IOB_29b,1,PIO,,
20,IOB_25b_G3,1,DPIO,COMP,IOB_24a
21,IOB_23b,1,DPIO,COMP,IOB_22a
23,IOT_37a,0,DPIO,TRUE,IOT_36b
25,IOT_36b,0,DPIO,COMP,IOT_37a
26,IOT_39a,0,DPIO,TRUE,IOT_38b
27,IOT_38b,0,DPIO,COMP,IOT_39a
28,IOT_41a,0,PIO,,
31,IOT_42b,0,DPIO,COMP,IOT_43a
32,IOT_43a,0,DPIO,TRUE,IOT_42b
34,IOT_44b,0,DPIO,COMP,IOT_45a_G1
35,IOT_46b_G0,0,GCLK,,
36,IOT_48b,0,DPIO,COMP,IOT_49a
37,IOT_45a_G1,0,DPIO,TRUE,IOT_44b
38,IOT_50b,0,DPIO,COMP,IOT_51a
39,RGB0,0,LED,,
40,RGB1,0,LED,,
41,RGB2,0,LED,,
42,IOT_51a,0,DPIO,TRUE,IOT_50b
43,IOT_49a,0,DPIO,TRUE,IOT_48b
44,IOB_3b_G6,2,DPIO,COMP,IOB_2a
45,IOB_5b,2,DPIO,COMP,IOB_4a
46,IOB_0a,2,PIO,,
47,IOB_2a,2,DPIO,TRUE,IOB_3b_G6
48,IOB_4a,2,DPIO,TRUE,IOB_5b
